,states,latLong,description,designation,parkCode,id,directionsInfo,directionsUrl,fullName,url,weatherInfo,name
404,"KY,TN","lat:36.5348388, long:-84.66506688","Encompassing 125,000 acres of the Cumberland Plateau, Big South Fork National River and Recreation Area protects the free-flowing Big South Fork of the Cumberland River and its tributaries. The area boasts miles of scenic gorges and sandstone bluffs, is rich with natural and historic features and has been developed to provide visitors with a wide range of outdoor recreational activities.",National River & Recreation Area,biso,61EC5C9A-1A38-4040-AE38-E62FD2A9A836,Please use the following link to learn more about how to get here from various locations.,http://www.nps.gov/biso/planyourvisit/directions.htm,Big South Fork National River & Recreation Area,https://www.nps.gov/biso/index.htm,"The weather along the Cumberland Plateau can be best described as unpredictable. Each season brings its own weather patterns. Summers are generally hot and humid, with high temperatures sometimes eclipsing 90 degrees. The low temperatures in winter often dip below freezing. Spring sees the most amount of precipitation, but rainfall can occur in various amounts throughout the year.",Big South Fork
405,TX,"lat:30.42356654, long:-94.3384557","Life of all types abounds in the Big Thicket. This national preserve protects the incredible diversity of life found where multiple habitats converge in southeast Texas. Hiking trails and waterways meander through nine different ecosystems, from longleaf pine forests to cypress-lined bayous. It is a place of discovery, a place to wander and explore, a place to marvel at the richness of nature.",National Preserve,bith,3AA12AD8-4FEB-491D-AEB2-CC0F74CD00E0,"Big Thicket National Preserve consists of 15 units spread across 7 counties. The visitor center is located approximately 30 miles north of Beaumont, and 8 miles north of Kountze, along US 69/287.",http://www.nps.gov/bith/planyourvisit/directions.htm,Big Thicket National Preserve,https://www.nps.gov/bith/index.htm,Big Thicket National Preserve is generally very hot and humid during the spring and summer. Winters are mild. Snow and subfreezing temperatures are uncommon.,Big Thicket
406,"MT,WY","lat:45.13154227, long:-108.1443943","The vast, wild landscape of Bighorn Canyon National Recreation Area offers visitors unparalleled opportunities to immerse themselves in the natural world, and experience the wonders of this extraordinary place. With over 120,000 acres, one can find an astounding diversity in ecosystems, wildlife, and more than 10,000 years of human history to explore.",National Recreation Area,bica,7568A0D8-73B1-44E6-82C7-E10BA1872209,"Bighorn Canyon has two districts that are separated by a three hour drive.  
To get to the North District at Fort Smith, MT from Billings,take Interstate 90 south to Hardin, MT. Turn at exit 495 onto State Highway 313 to St. Xavier and then to Fort Smith, Montana.
To get to the South District at Lovell, WY from Billings, MT, take Interstate 90 west. Turn at exit 434 at Laurel, MT. Turn onto US 310 East/US 212 South. Turn at US 310 East to Lovell. The visitor center is on the east side of Lovell.",http://www.nps.gov/bica/planyourvisit/directions.htm,Bighorn Canyon National Recreation Area,https://www.nps.gov/bica/index.htm,"North District: Semi-arid, receiving 18 to 20 inches of rain annually.
South District: High-desert, receiving 6 to 10 inches of rain annually.
Summer temperatures: Highs in the 80s (F) and 90s (F), lows in the 50s (F) and 60s (F). Summer temperatures can peak over 100 degrees.
Winter temperatures: Range in the 20s and 30s with low temperatures averaging the 10s (F) and 20s (F). During the winter the thermometer can drop below 0 (F) with extreme wind chill factors.",Bighorn Canyon
407,"RI,MA",,"The Blackstone River powered America's entry into the Age of Industry. The success of Samuel Slater's cotton spinning mill in Pawtucket, RI touched off a chain reaction that changed how people worked and where they lived, and continues to reverberate across the nation to this day. Come visit and see how this revolution transformed the landscape of the Blackstone Valley and then the United States.",National Historical Park,blrv,A36366E7-5663-4531-B0CE-D58928C6D01B,"The park headquarters is located at the Linwood Mill in Whitinsville, MA 01588.
670 Linwood Ave Suite #10
Whitinsville, MA 01588
508-234-4242",http://nps.gov/blrv/planyourvisit/directions.htm,Blackstone River Valley National Historical Park,https://www.nps.gov/blrv/index.htm,Summer temperatures range from 56-83F. Fall temperatures range from 30-70F. Winter temperatures range from 20-45F. Spring temperatures range from 30-70F.,Blackstone River Valley
408,VI,"lat:17.81026717, long:-64.6222179","Welcome to Buck Island! Before you come, please watch our 2014 Telly Award winning film ""Caribbean Gem."" Watching this will catch you up on 50+ years of National Park Service protection and civic engagement. Learn what we do every day to preserve this resource for Virgin Islanders and visitors alike.

For the General Management Plan and Environmental Compliance, visit the News page.",National Monument,buis,1172F473-8129-42CA-9A47-C9D0AC5CAF66,Enjoy your visit!,https://www.nps.gov/buis/planyourvisit/directions.htm,Buck Island Reef National Monument,https://www.nps.gov/buis/index.htm,Welcome to the tropics!,Buck Island Reef
409,FL,"lat:27.52272613, long:-82.64335416","In May 1539, Conquistador Hernando de Soto’s army of soldiers, hired mercenaries, craftsmen, and clergy made landfall in Tampa Bay. They were met with fierce resistance of indigenous people protecting their homelands. De Soto’s quest for glory and gold would be a four year, four thousand mile odyssey of intrigue, warfare, disease, and discovery that would form the history of the United States.",National Memorial,deso,C40BEE20-AF31-4DB5-AC77-D53EC89D1D9F,"Driving Directions:
From I-75 Take exit 220 SR 64/Manatee Ave, Gulf Beaches exit. Travel west on SR 64 for approximately 12 miles to 75th St. W. Turn right onto 75th St. W. travel north approximately 2 miles to the northern terminus 75th St. W. turns into De Soto Memorial Hwy and dead ends into the park.",http://www.nps.gov/deso/planyourvisit/directions.htm,De Soto National Memorial,https://www.nps.gov/deso/index.htm,Summers avg. Temperature is 90 degrees Fahrenheit with a relative humidity of 80-90% Late afternoon showers and thunderstorms are common usually lasting only 10-20 minutes. Winters are mild and dry with lows reaching on average 60 degrees.,De Soto
410,PA,"lat:40.6690786778927, long:-75.2365978807211","Come journey through five Pennsylvania counties bursting with heritage and brimming with outdoor adventure. Follow the D&L Trail, a historic pathway marked with stories about hearty lumberjacks, coal miners, lock tenders, and railroaders. Explore the history of the Corridor at the National Canal Museum or along quiet canal paths, challenging bike trails and the rippling waters of the river.",National Heritage Corridor,dele,A1280F2B-9BC2-403D-AE78-CA8D9299A654,"For details and directions on places of interest in the Delaware and Leigh National Heritage Corridor, visit, http://delawareandlehigh.org/.",http://delawareandlehigh.org/,Delaware & Lehigh National Heritage Corridor,https://www.nps.gov/dele/index.htm,We have four seasons and the temperature varies 10 degrees from one end of the Corridor to the other on any given day. The winters are harsher in the two mountainous northern counties (Luzerne and Carbon) than in the southern-most county (Bucks).,Delaware & Lehigh
411,PA,"lat:39.96195482, long:-75.1500062","Described as horrifying, mystifying, and brilliant, Poe’s writing has engaged readers all over the globe. The six years Edgar Allan Poe lived in Philadelphia were his happiest and most productive. Yet Poe also struggled with bad luck, personal demons and his wife’s illness. In Poe’s humble home, reflect on the human spirit surmounting crushing obstacles, and celebrate Poe’s astonishing creativity.",National Historic Site,edal,7D06F9D0-1D89-48B5-AFC6-E096C3288C1E,"The Edgar Allan Poe National Historic Site is located at 532 N. 7th Street, Philadelphia, PA 19123. It sits in an urban area served by Interstates 95 and 676. On- street parking is usually available near the site. The site is also easily accessible by public transportation. See the directions web page for more information.",http://www.nps.gov/edal/planyourvisit/directions.htm,Edgar Allan Poe National Historic Site,https://www.nps.gov/edal/index.htm,"Summers are typically hot and muggy, fall and spring are generally mild, and winter is cold. Snowfall is highly variable, with some winters bringing only light snow and others bringing several major snowstorms, with the normal seasonal snowfall standing at 22.4 in (57 cm). Precipitation is generally spread throughout the year, with eight to twelve wet days per month.",Edgar Allan Poe
412,NY,"lat:40.70731192, long:-74.01025636","Here on Wall Street, George Washington took the oath of office as our first President, and this site was home to the first Congress, Supreme Court, and Executive Branch offices. The current structure, a Customs House, later served as part of the US Sub-Treasury. Now, the building serves as a museum and memorial to our first President and the beginnings of the United States of America.",National Memorial,feha,2337D255-2D32-4997-957A-D461EEA03AF8,"The main entrance of Federal Hall is located at 26 Wall Street, near the corner of Wall Street and Nassau Street in Manhattan's Financial District. The rear entrance, which is wheelchair accessible, is located at 15 Pine Street, near the intersection of Pine Street and Nassau Street. It is highly recommended that all visitors use mass transit when traveling to Federal Hall.",http://www.nps.gov/feha/planyourvisit/directions.htm,Federal Hall National Memorial,https://www.nps.gov/feha/index.htm,http://forecast.weather.gov/MapClick.php?CityName=New+York&state=NY&site=OKX&lat=40.7198&lon=-73.993#.Vqj8OvkrJlZ,Federal Hall
413,MD,"lat:39.26395314, long:-76.58044165","by the dawn's early light, a large red, white and blue banner? Whose broad stripes and bright stars . . . were so gallantly streaming! over the star-shaped Fort McHenry during the Battle of Baltimore, September 13-14, 1814. The valiant defense of the fort inspired Francis Scott Key to write ""The Star-Spangled Banner.""",National Monument and Historic Shrine,fomc,B0DE766C-E87F-48BE-A94F-C9D774AD52FD,"The park is three miles southeast of the Baltimore Inner Harbor and just off I-95. Follow the brown Fort McHenry directional signs along all major routes to the park. 

From I-95 northbound, take Exit 55 Key Highway and follow Fort McHenry signs.",http://www.nps.gov/fomc/planyourvisit/directions.htm,Fort McHenry National Monument and Historic Shrine,https://www.nps.gov/fomc/index.htm,"Temperatures and weather in the spring and fall months tend to be mild. Ice, snow, and freezing temperatures can occur during winter. Extreme heat can occur during the summer months.

Inclement weather may impact park hours of operation year round. Refer to the park alerts or call ahead to confirm operating hours.",Fort McHenry
